record_id,current_gpa,biological_sex,student_population,gpa_quality_flag
1,3.94,Female,Freshman,valid
2,3.75,Female,Freshman,valid
3,3.75,Female,Freshman,valid
4,3.4,Female,Freshman,valid
5,3.2,Female,Freshman,valid
6,3.3,Female,Freshman,valid
7,4,Female,Freshman,valid
8,4,Female,Freshman,valid
9,3.69,Female,Freshman,valid
10,4,Female,Freshman,valid
11,3.8,Female,Freshman,valid
12,3.13,Female,Freshman,valid
13,3.91,Female,Freshman,valid
14,3.47,Female,Freshman,valid
15,2.8,Female,Freshman,valid
16,3.3,Female,Freshman,valid
17,3.6,Female,Freshman,valid
18,2.7,Female,Freshman,valid
19,4,Female,Freshman,valid
20,3.95,Female,Freshman,valid
21,3.45,Female,Freshman,valid
22,4,Female,Freshman,valid
23,3.7,Female,Freshman,valid
24,3.2,Female,Freshman,valid
25,3.8,Female,Freshman,valid
26,3.9,Female,Freshman,valid
27,3.75,Female,Freshman,valid
28,3.9,Female,Freshman,valid
29,3.8,Female,Freshman,valid
30,3.7,Female,Freshman,valid
31,3.266,Female,Freshman,valid
32,2.3,Female,Freshman,valid
33,3.45,Female,Freshman,valid
34,1.7,Female,Freshman,valid
35,3.6,Female,Freshman,valid
36,2.5,Female,Freshman,valid
37,3.5,Female,Freshman,valid
38,1.65,Female,Freshman,valid
39,3.75,Female,Freshman,valid
40,3.6,Female,Freshman,valid
41,4,Female,Freshman,valid
42,3.75,Female,Freshman,valid
43,3.3,Female,Freshman,valid
44,3.7,Female,Freshman,valid
45,2.1,Female,Freshman,valid
46,3.4,Female,Freshman,valid
47,3.6,Female,Freshman,valid
48,3.7,Female,Freshman,valid
49,3.2,Female,Freshman,valid
50,3.83,Female,Freshman,valid
51,2.7,Female,Freshman,valid
52,3.6,Female,Freshman,valid
53,3,Female,Freshman,valid
54,3.2,Female,Freshman,valid
55,4,Female,Freshman,valid
56,3.8,Female,Freshman,valid
57,3.5,Female,Freshman,valid
58,2.6,Female,Freshman,valid
59,3.9,Female,Freshman,valid
60,3.5,Female,Freshman,valid
61,4.48,Female,Freshman,above_expected_range
62,4,Female,Freshman,valid
63,4,Female,Freshman,valid
64,2.5,Female,Freshman,valid
65,3.8,Female,Freshman,valid
66,4,Female,Freshman,valid
67,4,Female,Freshman,valid
68,3.56,Female,Freshman,valid
69,4,Female,Freshman,valid
70,4,Female,Freshman,valid
71,2.75,Female,Freshman,valid
72,4,Female,Freshman,valid
73,4,Female,Freshman,valid
74,3.1,Female,Freshman,valid
75,3.7,Female,Freshman,valid
76,3.5,Female,Freshman,valid
77,3.75,Female,Freshman,valid
78,4,Female,Freshman,valid
79,4,Female,Freshman,valid
80,3,Female,Freshman,valid
81,3.5,Female,Freshman,valid
82,3.85,Female,Freshman,valid
83,3.45,Female,Freshman,valid
84,3.8,Female,Freshman,valid
85,4,Female,Freshman,valid
86,2.5,Female,Freshman,valid
87,3.8,Female,Freshman,valid
88,3.2,Female,Freshman,valid
89,3.6,Female,Freshman,valid
90,3.94,Female,Freshman,valid
91,4,Female,Freshman,valid
92,2.7,Female,Freshman,valid
93,3.75,Female,Freshman,valid
94,3,Female,Freshman,valid
95,4,Female,Freshman,valid
96,4,Female,Freshman,valid
97,3.5,Female,Freshman,valid
98,4,Female,Freshman,valid
99,3,Female,Freshman,valid
100,3.01,Female,Freshman,valid
101,4,Female,Freshman,valid
102,3.8,Female,Freshman,valid
103,3.6,Female,Freshman,valid
104,3,Female,Freshman,valid
105,3,Female,Freshman,valid
106,3.55,Female,Freshman,valid
107,3.3,Female,Freshman,valid
108,3.3,Female,Freshman,valid
109,3.5,Female,Freshman,valid
110,3.8,Female,Freshman,valid
111,4,Female,Freshman,valid
112,3.34,Female,Freshman,valid
113,3.8,Female,Freshman,valid
114,2.8,Female,Freshman,valid
115,3.82,Female,Freshman,valid
116,3.8,Female,Freshman,valid
117,3.6,Female,Freshman,valid
118,4,Female,Freshman,valid
