record_id,current_gpa,vegetables,vegetables_2,fruit,fruit_juice,green_salad,milk,breakfast,soda,diet_soda,energy_drinks,sports_drinks,fast_food,gpa_quality_flag
1,1.7,0 times (not at all),0 times (not at all),4 to 6 times,4 to 6 times,0 times (not at all),0 glasses (not at all),1 day,0 times (not at all),0 times (not at all),0 times (not at all),1 to 3 times,1 to 3 times,valid
2,3.94,0 times (not at all),0 times (not at all),1 to 3 times,0 times (not at all),0 times (not at all),0 glasses (not at all),1 day,4 to 6 times,0 times (not at all),0 times (not at all),1 to 3 times,1 to 3 times,valid
3,4,0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),1 to 3 glasses,0 days (not at all),0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),1 to 3 times,valid
4,3.8,0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),1 to 3 glasses,0 days (not at all),0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),1 to 3 times,valid
5,3.6,0 times (not at all),0 times (not at all),0 times (not at all),7 to 10 times,0 times (not at all),0 glasses (not at all),0 days (not at all),1 to 3 times,1 to 3 times,0 times (not at all),1 to 3 times,1 to 3 times,valid
6,0.57,0 times (not at all),0 times (not at all),1 to 3 times,1 to 3 times,0 times (not at all),0 glasses (not at all),2 days,1 to 3 times,0 times (not at all),0 times (not at all),0 times (not at all),4 to 6 times,valid
7,3.76,0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),1 to 3 times,0 glasses (not at all),0 days (not at all),0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),1 to 3 times,valid
8,3.22,0 times (not at all),0 times (not at all),1 to 3 times,1 to 3 times,0 times (not at all),0 glasses (not at all),1 day,0 times (not at all),0 times (not at all),0 times (not at all),1 to 3 times,7 to 10 times,valid
9,2.7,0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),1 to 3 glasses,0 days (not at all),0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),1 to 3 times,valid
10,3.49,0 times (not at all),0 times (not at all),4 to 6 times,0 times (not at all),0 times (not at all),0 glasses (not at all),7 days (everyday),0 times (not at all),0 times (not at all),0 times (not at all),1 to 3 times,0 times (not at all),valid
11,3.927,0 times (not at all),0 times (not at all),1 to 3 times,0 times (not at all),0 times (not at all),1 to 3 glasses,2 days,0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),1 to 3 times,valid
12,3.8,0 times (not at all),0 times (not at all),1 to 3 times,1 to 3 times,1 to 3 times,1 to 3 glasses,4 days,1 to 3 times,1 to 3 times,0 times (not at all),0 times (not at all),1 to 3 times,valid
13,3.5,0 times (not at all),0 times (not at all),1 to 3 times,0 times (not at all),0 times (not at all),0 glasses (not at all),2 days,1 to 3 times,0 times (not at all),0 times (not at all),4 to 6 times,4 to 6 times,valid
14,3.3,0 times (not at all),0 times (not at all),4 to 6 times,0 times (not at all),0 times (not at all),11 glasses or more,5 days,0 times (not at all),0 times (not at all),0 times (not at all),1 to 3 times,0 times (not at all),valid
15,3.4,0 times (not at all),0 times (not at all),4 to 6 times,4 to 6 times,0 times (not at all),0 glasses (not at all),2 days,0 times (not at all),0 times (not at all),0 times (not at all),4 to 6 times,4 to 6 times,valid
16,3.45,0 times (not at all),0 times (not at all),1 to 3 times,1 to 3 times,0 times (not at all),0 glasses (not at all),1 day,1 to 3 times,0 times (not at all),0 times (not at all),0 times (not at all),4 to 6 times,valid
17,3.6,0 times (not at all),0 times (not at all),1 to 3 times,0 times (not at all),0 times (not at all),7 to 10 glasses,7 days (everyday),1 to 3 times,0 times (not at all),0 times (not at all),0 times (not at all),1 to 3 times,valid
18,4,0 times (not at all),0 times (not at all),0 times (not at all),1 to 3 times,0 times (not at all),4 to 6 glasses,4 days,1 to 3 times,0 times (not at all),0 times (not at all),4 to 6 times,1 to 3 times,valid
19,3,0 times (not at all),0 times (not at all),1 to 3 times,4 to 6 times,1 to 3 times,0 glasses (not at all),3 days,0 times (not at all),0 times (not at all),1 to 3 times,0 times (not at all),0 times (not at all),valid
