record_id,current_gpa,number_of_days_physically_active,strength_training,gpa_quality_flag
1,4,0 days (not at all),0 days (not at all),valid
2,3.45,0 days (not at all),1 day,valid
3,3.7,0 days (not at all),0 days (not at all),valid
4,3.2,0 days (not at all),0 days (not at all),valid
5,3.8,0 days (not at all),0 days (not at all),valid
6,3.7,0 days (not at all),0 days (not at all),valid
7,3.45,0 days (not at all),0 days (not at all),valid
8,3.75,0 days (not at all),0 days (not at all),valid
9,3.7,0 days (not at all),0 days (not at all),valid
10,3.2,0 days (not at all),0 days (not at all),valid
11,4,0 days (not at all),5 days,valid
12,3,0 days (not at all),0 days (not at all),valid
13,3.2,0 days (not at all),0 days (not at all),valid
14,4,0 days (not at all),0 days (not at all),valid
15,3.01,0 days (not at all),0 days (not at all),valid
16,3.34,0 days (not at all),0 days (not at all),valid
17,3.6,0 days (not at all),0 days (not at all),valid
18,3.67,0 days (not at all),1 day,valid
19,2.9,0 days (not at all),0 days (not at all),valid
20,0.57,0 days (not at all),0 days (not at all),valid
21,0.57,0 days (not at all),0 days (not at all),valid
22,2.5,0 days (not at all),0 days (not at all),valid
23,3.31,0 days (not at all),0 days (not at all),valid
24,2,0 days (not at all),0 days (not at all),valid
25,4,0 days (not at all),0 days (not at all),valid
26,3.674,0 days (not at all),0 days (not at all),valid
27,3.76,0 days (not at all),0 days (not at all),valid
28,3.36,0 days (not at all),0 days (not at all),valid
29,3.64,0 days (not at all),0 days (not at all),valid
30,3.4,0 days (not at all),0 days (not at all),valid
31,3.44,0 days (not at all),0 days (not at all),valid
32,3.5,0 days (not at all),0 days (not at all),valid
33,3.64,0 days (not at all),0 days (not at all),valid
34,3.2,0 days (not at all),0 days (not at all),valid
35,3.29,0 days (not at all),0 days (not at all),valid
36,3.47,0 days (not at all),0 days (not at all),valid
37,3.5,0 days (not at all),0 days (not at all),valid
38,3.6,0 days (not at all),3 days,valid
39,3.5,0 days (not at all),0 days (not at all),valid
40,3.95,0 days (not at all),0 days (not at all),valid
41,3.5,0 days (not at all),0 days (not at all),valid
42,3.6,0 days (not at all),1 day,valid
43,3.1,0 days (not at all),0 days (not at all),valid
44,2.5,0 days (not at all),0 days (not at all),valid
45,3.3,0 days (not at all),0 days (not at all),valid
46,3.46,0 days (not at all),0 days (not at all),valid
47,4,0 days (not at all),7 days,valid
48,3.04,0 days (not at all),0 days (not at all),valid
49,3.4,0 days (not at all),0 days (not at all),valid
50,3.49,0 days (not at all),0 days (not at all),valid
51,3.2,0 days (not at all),0 days (not at all),valid
52,3.61,0 days (not at all),1 day,valid
53,3.7,0 days (not at all),0 days (not at all),valid
54,3.8,0 days (not at all),0 days (not at all),valid
55,3.4,0 days (not at all),0 days (not at all),valid
56,3.4,0 days (not at all),0 days (not at all),valid
57,3.1,0 days (not at all),0 days (not at all),valid
58,2.51,0 days (not at all),0 days (not at all),valid
59,3.45,0 days (not at all),0 days (not at all),valid
60,3.34,0 days (not at all),0 days (not at all),valid
61,3.5,0 days (not at all),0 days (not at all),valid
62,2.9,0 days (not at all),0 days (not at all),valid
63,3.67,0 days (not at all),0 days (not at all),valid
64,2.7,0 days (not at all),0 days (not at all),valid
65,3.5,0 days (not at all),1 day,valid
66,2.6,0 days (not at all),0 days (not at all),valid
67,3.893,0 days (not at all),0 days (not at all),valid
68,3.3,0 days (not at all),0 days (not at all),valid
69,3.78,0 days (not at all),0 days (not at all),valid
70,2.8,0 days (not at all),0 days (not at all),valid
71,4,0 days (not at all),0 days (not at all),valid
72,3.6,0 days (not at all),0 days (not at all),valid
73,2.78,0 days (not at all),0 days (not at all),valid
74,3.16,0 days (not at all),0 days (not at all),valid
75,3.4,0 days (not at all),0 days (not at all),valid
76,3.45,0 days (not at all),0 days (not at all),valid
77,3.4,0 days (not at all),0 days (not at all),valid
78,2.48,0 days (not at all),0 days (not at all),valid
79,1.9,0 days (not at all),0 days (not at all),valid
80,2.05,0 days (not at all),0 days (not at all),valid
81,0.94,0 days (not at all),0 days (not at all),valid
82,3,0 days (not at all),0 days (not at all),valid
83,4,0 days (not at all),0 days (not at all),valid
84,3.15,0 days (not at all),0 days (not at all),valid
85,3.1,0 days (not at all),0 days (not at all),valid
86,3.65,0 days (not at all),0 days (not at all),valid
87,2.9,0 days (not at all),0 days (not at all),valid
88,3.12,0 days (not at all),0 days (not at all),valid
89,3.84,0 days (not at all),4 days,valid
90,3.24,0 days (not at all),0 days (not at all),valid
91,3.45,0 days (not at all),0 days (not at all),valid
92,3.49,0 days (not at all),0 days (not at all),valid
93,3.82,0 days (not at all),0 days (not at all),valid
94,3.7,0 days (not at all),0 days (not at all),valid
95,3.2,0 days (not at all),0 days (not at all),valid
96,3.98,0 days (not at all),0 days (not at all),valid
97,3.76,0 days (not at all),0 days (not at all),valid
98,3.67,0 days (not at all),4 days,valid
99,3.83,0 days (not at all),0 days (not at all),valid
100,2.6,0 days (not at all),0 days (not at all),valid
101,2.54,0 days (not at all),0 days (not at all),valid
102,3.9,0 days (not at all),0 days (not at all),valid
103,2.8,0 days (not at all),0 days (not at all),valid
104,3.75,1 day,0 days (not at all),valid
105,3.75,1 day,0 days (not at all),valid
106,3.2,1 day,1 day,valid
107,3.69,1 day,2 days,valid
108,3.8,1 day,0 days (not at all),valid
109,3.8,1 day,1 day,valid
110,2.5,1 day,0 days (not at all),valid
111,3.6,1 day,1 day,valid
112,3.8,1 day,0 days (not at all),valid
113,4.48,1 day,1 day,above_expected_range
114,4,1 day,0 days (not at all),valid
115,3.5,1 day,1 day,valid
116,4,1 day,1 day,valid
117,3.5,1 day,0 days (not at all),valid
118,4,1 day,1 day,valid
119,3.8,1 day,1 day,valid
120,3,1 day,0 days (not at all),valid
121,3.5,1 day,1 day,valid
122,2.8,1 day,1 day,valid
123,3.2,1 day,1 day,valid
124,3.6,1 day,0 days (not at all),valid
125,4,1 day,0 days (not at all),valid
126,2.5,1 day,0 days (not at all),valid
127,3.4,1 day,1 day,valid
128,2.9,1 day,1 day,valid
129,3.5,1 day,0 days (not at all),valid
130,2.4,1 day,0 days (not at all),valid
131,3.53,1 day,0 days (not at all),valid
132,3.78,1 day,0 days (not at all),valid
133,2.974,1 day,0 days (not at all),valid
134,2.7,1 day,1 day,valid
135,3.5,1 day,4 days,valid
136,3.5,1 day,1 day,valid
137,3.9,1 day,2 days,valid
138,3.5,1 day,0 days (not at all),valid
139,3,1 day,0 days (not at all),valid
140,3.4,1 day,0 days (not at all),valid
141,3.8,1 day,2 days,valid
142,3.6,1 day,1 day,valid
143,4.71,1 day,0 days (not at all),above_expected_range
144,3.56,1 day,1 day,valid
145,3.1,1 day,0 days (not at all),valid
146,3.6,1 day,0 days (not at all),valid
147,4,1 day,1 day,valid
148,4,1 day,0 days (not at all),valid
149,3.721,1 day,1 day,valid
150,3.36,1 day,2 days,valid
151,3.3,1 day,1 day,valid
152,3.6,1 day,1 day,valid
153,3.8,1 day,1 day,valid
154,3.11,1 day,0 days (not at all),valid
155,3.25,1 day,0 days (not at all),valid
156,2.9,1 day,1 day,valid
157,3.5,1 day,1 day,valid
158,3.89,1 day,0 days (not at all),valid
159,4,1 day,0 days (not at all),valid
160,3.2,1 day,0 days (not at all),valid
161,2.3,1 day,1 day,valid
162,3,1 day,3 days,valid
163,3.77,1 day,0 days (not at all),valid
164,2.8,1 day,0 days (not at all),valid
165,4,1 day,0 days (not at all),valid
166,3.4,1 day,1 day,valid
167,3.235,1 day,2 days,valid
168,3,1 day,0 days (not at all),valid
169,3.7,1 day,0 days (not at all),valid
170,3,1 day,0 days (not at all),valid
171,3.05,1 day,0 days (not at all),valid
172,3.75,1 day,1 day,valid
173,3.4,2 days,0 days (not at all),valid
174,2.8,2 days,2 days,valid
175,3.3,2 days,0 days (not at all),valid
176,2.7,2 days,0 days (not at all),valid
177,3.266,2 days,0 days (not at all),valid
178,2.3,2 days,2 days,valid
