record_id,current_gpa,sleep_duration,bedtime,wake_time,gpa_quality_flag
1,3.4,10 or more hours,Between 10pm and 12am,Between 10am and 12pm,valid
2,3.2,10 or more hours,After 2am,After 12pm,valid
3,3.1,10 or more hours,After 2am,Between 10am and 12pm,valid
4,2.6,10 or more hours,Between 12am and 2am,Between 8am and 10am,valid
5,3.75,10 or more hours,Between 10pm and 12am,Between 8am and 10am,valid
6,3.45,4 hours or less,After 2am,Between 10am and 12pm,valid
7,3.7,4 hours or less,After 2am,Between 8am and 10am,valid
8,2.5,4 hours or less,Between 10pm and 12am,Before 6am,valid
9,2.9,4 hours or less,After 2am,Between 6am and 8am,valid
10,2.28,4 hours or less,Between 12am and 2am,Between 6am and 8am,valid
11,2.9,4 hours or less,Between 8pm and 10pm,Before 6am,valid
12,3.2,4 hours or less,Between 12am and 2am,Between 6am and 8am,valid
13,3.5,4 hours or less,After 2am,Between 6am and 8am,valid
14,2.9,4 hours or less,Between 10pm and 12am,Before 6am,valid
15,3.06,4 hours or less,After 2am,Between 10am and 12pm,valid
16,4,4 hours or less,Between 12am and 2am,Between 6am and 8am,valid
17,3.4,4 hours or less,After 2am,Between 10am and 12pm,valid
18,2.48,4 hours or less,Between 10pm and 12am,Between 8am and 10am,valid
19,2.9,4 hours or less,After 2am,Between 8am and 10am,valid
20,2.48,4 hours or less,Between 10pm and 12am,Between 8am and 10am,valid
21,3.235,4 hours or less,Between 12am and 2am,Between 6am and 8am,valid
22,3.6,4 hours or less,Between 12am and 2am,Between 6am and 8am,valid
23,3.2,4 hours or less,Between 10pm and 12am,Between 6am and 8am,valid
24,3.1,4 hours or less,After 2am,Between 6am and 8am,valid
25,3.8,4 hours or less,After 2am,Between 8am and 10am,valid
26,2.9,4 hours or less,Between 12am and 2am,Between 6am and 8am,valid
27,2.7,4 hours or less,After 2am,Between 8am and 10am,valid
28,3.13,5 hours,Between 12am and 2am,Between 8am and 10am,valid
29,3.3,5 hours,Between 12am and 2am,Between 8am and 10am,valid
30,3.2,5 hours,Between 10pm and 12am,Between 8am and 10am,valid
31,3.45,5 hours,Between 12am and 2am,Between 6am and 8am,valid
32,1.65,5 hours,After 2am,Between 8am and 10am,valid
33,4,5 hours,Between 10pm and 12am,Between 6am and 8am,valid
34,3.9,5 hours,Between 10pm and 12am,Between 6am and 8am,valid
35,3.85,5 hours,Between 10pm and 12am,Before 6am,valid
36,3.8,5 hours,Between 12am and 2am,Between 8am and 10am,valid
37,3.2,5 hours,After 2am,Between 8am and 10am,valid
38,3.94,5 hours,After 2am,Between 10am and 12pm,valid
39,2.7,5 hours,Between 12am and 2am,Between 8am and 10am,valid
40,3,5 hours,Between 10pm and 12am,Before 6am,valid
41,3,5 hours,Between 12am and 2am,Between 6am and 8am,valid
42,3.8,5 hours,After 2am,Between 6am and 8am,valid
43,3,5 hours,Between 12am and 2am,Between 8am and 10am,valid
44,3.8,5 hours,Between 10pm and 12am,Between 6am and 8am,valid
45,3.8,5 hours,Between 12am and 2am,Between 6am and 8am,valid
46,0.57,5 hours,Between 12am and 2am,Between 8am and 10am,valid
47,0.57,5 hours,After 2am,Between 8am and 10am,valid
48,4,5 hours,Between 12am and 2am,Between 8am and 10am,valid
49,3.5,5 hours,Between 10pm and 12am,Before 6am,valid
50,4,5 hours,After 2am,Between 8am and 10am,valid
51,3.2,5 hours,Between 12am and 2am,Between 6am and 8am,valid
52,3.6,5 hours,Between 12am and 2am,Between 6am and 8am,valid
53,4,5 hours,Between 12am and 2am,Before 6am,valid
54,2.5,5 hours,Between 12am and 2am,Between 6am and 8am,valid
55,3.5,5 hours,Between 12am and 2am,Between 6am and 8am,valid
56,4,5 hours,Between 12am and 2am,Between 8am and 10am,valid
57,3.2,5 hours,Between 12am and 2am,Between 6am and 8am,valid
58,3,5 hours,Between 12am and 2am,Between 8am and 10am,valid
59,2.24,5 hours,Between 12am and 2am,Between 6am and 8am,valid
60,2.5,5 hours,Between 12am and 2am,Between 8am and 10am,valid
61,3.5,5 hours,Between 12am and 2am,Between 8am and 10am,valid
62,3.51,5 hours,Between 12am and 2am,Between 8am and 10am,valid
63,3.5,5 hours,Between 10pm and 12am,Before 6am,valid
64,3.75,5 hours,Between 12am and 2am,Between 6am and 8am,valid
65,3.78,5 hours,After 2am,Between 8am and 10am,valid
66,3.85,5 hours,Between 12am and 2am,Between 6am and 8am,valid
67,3.22,5 hours,Between 10pm and 12am,Between 6am and 8am,valid
68,3.45,5 hours,Between 8pm and 10pm,Between 6am and 8am,valid
69,3.56,5 hours,Between 12am and 2am,Between 6am and 8am,valid
70,3.1,5 hours,Between 12am and 2am,Between 6am and 8am,valid
71,3.8,5 hours,Between 12am and 2am,Before 6am,valid
72,3.33,5 hours,After 2am,Between 10am and 12pm,valid
73,3.04,5 hours,Between 12am and 2am,Between 6am and 8am,valid
74,3.44,5 hours,Between 10pm and 12am,Before 6am,valid
75,3,5 hours,Between 10pm and 12am,Between 6am and 8am,valid
76,3.23,5 hours,Between 10pm and 12am,Between 6am and 8am,valid
77,3.87,5 hours,Between 10pm and 12am,Between 6am and 8am,valid
78,3.7,5 hours,Between 12am and 2am,Between 8am and 10am,valid
79,3.9,5 hours,After 2am,Between 8am and 10am,valid
80,3.01,5 hours,Between 12am and 2am,Between 8am and 10am,valid
81,3.45,5 hours,After 2am,Between 8am and 10am,valid
82,3.84,5 hours,Between 12am and 2am,Before 6am,valid
83,3.4,5 hours,After 2am,Between 6am and 8am,valid
84,3.6,5 hours,Between 12am and 2am,Between 6am and 8am,valid
85,4,5 hours,Between 12am and 2am,Between 6am and 8am,valid
86,3.86,5 hours,Between 10pm and 12am,Before 6am,valid
87,3.5,5 hours,Between 12am and 2am,Between 8am and 10am,valid
88,3.1,5 hours,Between 12am and 2am,Between 6am and 8am,valid
89,3.67,5 hours,Between 12am and 2am,Between 6am and 8am,valid
90,3.2,5 hours,Between 12am and 2am,Between 6am and 8am,valid
91,3.8,5 hours,Between 12am and 2am,Between 6am and 8am,valid
92,3.4,5 hours,Between 10pm and 12am,Between 6am and 8am,valid
93,3.3,5 hours,Between 12am and 2am,Between 8am and 10am,valid
94,2.7,5 hours,Between 10pm and 12am,Between 6am and 8am,valid
95,3.7,5 hours,Between 12am and 2am,Between 6am and 8am,valid
96,3.5,5 hours,Between 10pm and 12am,Before 6am,valid
97,3.5,5 hours,Between 12am and 2am,Between 8am and 10am,valid
98,3.7,5 hours,Between 10pm and 12am,Between 6am and 8am,valid
99,3.3,5 hours,Between 10pm and 12am,Between 6am and 8am,valid
100,3.8,5 hours,Between 10pm and 12am,Between 6am and 8am,valid
101,1.9,5 hours,After 2am,Between 8am and 10am,valid
102,3.7,5 hours,After 2am,Between 10am and 12pm,valid
103,3,5 hours,Between 12am and 2am,Between 6am and 8am,valid
104,2.05,5 hours,Between 12am and 2am,Between 6am and 8am,valid
105,3.1,5 hours,Between 10pm and 12am,Between 6am and 8am,valid
106,3.8,5 hours,After 2am,Between 10am and 12pm,valid
107,3.4,5 hours,Between 12am and 2am,Between 6am and 8am,valid
108,3.3,5 hours,Between 12am and 2am,Before 6am,valid
109,2.8,5 hours,Between 12am and 2am,Between 6am and 8am,valid
110,3.6,5 hours,Between 12am and 2am,Between 10am and 12pm,valid
111,3.94,5 hours,After 2am,Between 10am and 12pm,valid
112,3.94,5 hours,Between 10pm and 12am,Between 6am and 8am,valid
113,3.72,5 hours,Between 12am and 2am,Between 6am and 8am,valid
114,3,5 hours,Between 10pm and 12am,Before 6am,valid
